abbreviation,last_updated,naloxone_legal_status,gs_exists,gs_scope,pharmacy_mechanism,medicaid_notes,typical_cost,how_to_get_quickly,barriers
AK,2026-04-17,Pharmacist Independent Prescribing,TRUE,Protects caller and victim if seeking medical help.,Pharmacists prescribe independently.,Covered.,OTC ~$45-65,Pharmacy or Project HOPE partner.,Remote villages lack pharmacies; rely on mail/community programs.
AL,2026-04-17,Prescription/Standing Order/OTC,TRUE,Protects caller (using real name/staying at scene) from misdemeanor possession charges.,Statewide standing order.,Medicaid covers with $0-3 copay.,OTC ~$45-65,Fastest: Pharmacy (Standing Order/OTC) or Jefferson County Health Dept.,Rural access limited; cost for uninsured. Use mail programs.
AR,2026-04-17,Statewide Protocol,TRUE,Caller protected if acting in good faith.,Pharmacists initiate therapy under protocol.,Medicaid covers.,OTC ~$45-65,Pharmacy protocol or County Health Dept.,Rural access; use NEXT Distro.
AZ,2026-04-17,Statewide Standing Order,TRUE,Protects caller/victim from possession charges.,Dispense under standing order.,AHCCCS covers (no copay).,OTC ~$45-65,Walk into any pharmacy; no Rx needed.,Cost for uninsured; use community programs.
CA,2026-04-17,Pharmacist Furnishing Protocol,TRUE,Broad protection for caller/victim.,Pharmacists furnish under protocol.,Medi-Cal covers ($0 copay).,OTC ~$45-65,Pharmacy (ask for furnishing) or County Health Dept.,Cost is main barrier; use free programs.
CO,2026-04-17,Statewide Standing Order,TRUE,Protects caller/victim; includes expired naloxone.,Dispense under standing order.,"Covered, no copay.",OTC ~$45,Pharmacy standing order or Harm Reduction Action Center.,Rural access limited; use mail programs.
CT,2026-04-17,Pharmacist Prescribing Protocol,TRUE,Protects caller/victim from prosecution.,Certified pharmacists prescribe.,Covered (HUSKY).,OTC ~$45,Pharmacy with certified pharmacist or local health dept.,Use DCP map to find certified pharmacists.
DE,2026-04-17,Standing Order / Community Access,TRUE,Protects public safety/laypersons.,Dispense under standing order.,"Covered, no copay.",OTC ~$45,State mail program (free) or pharmacy.,Training requirement (online video) for mail program.
FL,2026-04-17,Statewide Standing Order,TRUE,Civil immunity for administration.,Pharmacists dispense to anyone.,Covered.,OTC ~$45-50,Pharmacy standing order or iSaveFL locator.,Cost if uninsured; use state program.
GA,2026-04-17,Statewide Standing Order,TRUE,Protects administrator from liability.,Pharmacists dispense to anyone.,Covered.,OTC ~$45,Pharmacy or Georgia Overdose Prevention request form.,Rural access; use mail programs.
HI,UNKNOWN,UNKNOWN,TRUE,Protects caller/victim from drug/paraphernalia charges.,Pharmacist prescriptive authority.,Covered (QUEST).,OTC ~$45-50,Pharmacy or HHHRC (Oahu).,Neighbor islands isolation; use mail order.
IA,2026-06-10,UNKNOWN,TRUE,One-time immunity for reporter.,Statewide standing order.,Covered.,OTC ~$45,"State TeleNaloxone mail program ENDED Sept 2024. Find free kits at participating pharmacies, community orgs, and vending machines via https://www.naloxoneiowa.org",No state mail program anymore; Good Samaritan immunity is one-time-only.
ID,UNKNOWN,UNKNOWN,TRUE,"Immunity for administration, NOT possession.",Pharmacist prescriptive authority.,Covered.,OTC ~$45,Pharmacy or IHRP mail delivery.,Weak legal immunity; mail order preferred for privacy.
IL,UNKNOWN,UNKNOWN,TRUE,Possession immunity with strict quantity limits.,Statewide Standing Order.,Covered.,OTC ~$45,Pharmacy or CRA vans (Chicago).,Quantity limits in immunity law.
IN,UNKNOWN,UNKNOWN,TRUE,Immunity for possession if naloxone administered.,Aaron's Law / Standing Order.,Covered.,OTC ~$45,OptIN.in.gov locator or NaloxBoxes.,Rural access; check NaloxBox locations.
KS,2026-06-10,UNKNOWN,TRUE,"NEW: SB 419 (2024) — immunity from prosecution for possession/use for the caller and the person overdosing. Excludes people on parole, probation, or work release.",Statewide protocol.,Covered ($0-3 copay).,OTC ~$45,Free kits + test strips mailed by DCCCA (https://www.dccca.org/naloxone) or pharmacy. DCCCA also stocks free vending machines in 8 cities.,New (2024) immunity law has low awareness and excludes people under supervision.
KY,UNKNOWN,UNKNOWN,TRUE,Protects caller/victim from possession/use charges.,Pharmacy protocol.,Covered.,OTC ~$45,FindNaloxoneNowKY.org locator or Pharmacy.,Rural access; use NEXT Distro.
LA,UNKNOWN,UNKNOWN,TRUE,Protects caller/victim from possession charges.,Statewide standing order.,Covered (no copay).,OTC ~$45,Pharmacy or NEXT Distro/Trystereo.,Cost minimized by Medicaid/Free programs.
