abbreviation	last_updated	naloxone_legal_status	gs_exists	gs_scope	pharmacy_mechanism	medicaid_notes	typical_cost	how_to_get_quickly	barriers	sources
CO	2026-07-14	Statewide Standing Order	TRUE	Protects caller/victim; includes expired naloxone.	Dispense under standing order.	Covered, no copay.	OTC ~$45	Pharmacy standing order or Harm Reduction Action Center.	Rural access limited; use mail programs.	
CT	2026-07-14	Pharmacist Prescribing Protocol	TRUE	Protects caller/victim from prosecution.	Certified pharmacists prescribe.	Covered (HUSKY).	OTC ~$45	Pharmacy with certified pharmacist or local health dept.	Use DCP map to find certified pharmacists.	
DE	2026-07-14	Standing Order / Community Access	TRUE	Protects caller + victim from arrest/prosecution for drug possession (felonies excluded).	Dispense under standing order.	Covered, no copay.	OTC ~$45	State mail program (free) or pharmacy.	Training requirement (online video) for mail program.	https://delcode.delaware.gov/title16/c047/sc04/ | https://whyy.org/articles/delaware-law-grants-criminal-immunity-for-those-who-report-drug-overdoses/
FL	2026-07-14	Statewide Standing Order	TRUE	Protects caller & victim from possession/paraphernalia arrest; not distribution or overdose-death charges.	Pharmacists dispense to anyone.	Covered.	OTC ~$45-50	Pharmacy standing order or iSaveFL locator.	Cost if uninsured; use state program.	https://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899%2F0893%2FSections%2F0893.21.html | https://www.flsenate.gov/Laws/Statutes/2025/893.21 | https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.13.html
GA	2026-07-14	Statewide Standing Order	TRUE	Protects caller and victim from small-amount possession and paraphernalia charges, not trafficking.	Pharmacists dispense to anyone.	Covered.	OTC ~$45	Pharmacy, GA Overdose Prevention's naloxone map (24/7 kiosks), or their request form.	Rural access; use mail programs.	https://stoprxabuseinga.org/good-samaritan-911-fatal-overdose-prevention-law/ | https://legalclarity.org/understanding-georgias-good-samaritan-law-and-its-protections/ | https://www.atlantanewsfirst.com/2026/06/10/free-naloxone-map-across-state-unveiled-new-247-narcan-kiosk-opens-atlanta/ | https://georgiaoverdoseprevention.org/request-naloxone-kit/ | https://ganaloxone.com
HI	2026-07-14	Pharmacist prescriptive authority	TRUE	Protects caller/victim from drug/paraphernalia charges.	Pharmacist prescriptive authority.	Covered (QUEST).	OTC ~$45-50	Pharmacy, ~30 vending machines statewide, or HHHRC (pickup Oahu/Maui/Hawaii Island, mail to Kauai/Lanai/Molokai).	Neighbor islands isolation; use mail order.	https://www.hhhrc.org/naloxone | https://nextdistro.org/hawaii | https://health.hawaii.gov/harmreduction/for-providers/overdose-prevention-and-naloxone/
IA	2026-07-14	Statewide standing order	TRUE	One-time immunity for reporter AND the overdose victim; must call first, give your name, and stay on scene.	Statewide standing order.	Covered.	OTC ~$45	State TeleNaloxone mail program ENDED Sept 2024. Find free kits at participating pharmacies, community orgs, and vending machines via https://www.naloxoneiowa.org	No state mail program anymore; Good Samaritan immunity is one-time-only.	https://www.naloxoneiowa.org/ | https://hhs.iowa.gov/health-prevention/addiction-substance-use-disorders/medications-addiction-treatment/naloxone | https://www.legis.iowa.gov/docs/code/124.418.pdf | https://www.iarx.org/naloxone
ID	2026-07-14	Pharmacist prescriptive authority	TRUE	Real immunity (not just a defense) for caller and victim -- covers possession, use, and paraphernalia, not just administration.	Pharmacist prescriptive authority.	Covered.	OTC ~$45	Pharmacy, NEXT Distro mail, or Central District Health (walk-in/mail, SW Idaho only).	IHRP closed in 2024; NEXT Distro mail or CDH (SW Idaho only) fill the gap.	https://legislature.idaho.gov/statutesrules/idstat/Title37/T37CH27/SECT37-2739C/ | https://codes.findlaw.com/id/title-37-food-drugs-and-oil/id-st-sect-37-2739c/ | https://blog.idahoreports.idahoptv.org/2024/06/04/jfac-hears-update-on-harm-reduction-project-investigation/ | https://www.boisestatepublicradio.org/politics-government/2024-06-05/jfac-idaho-needle-exchange-investigation | https://cdh.idaho.gov/news/cdh-and-health-care-partners-providing-free-naloxone-distribution/ | https://cdh.idaho.gov/support-programs/drug-overdose-prevention/ | https://nextdistro.org/idaho | https://healthandwelfare.idaho.gov/services-programs/behavioral-health/naloxone-information
IL	2026-07-14	Statewide standing order	TRUE	Real arrest immunity, not just a trial defense -- protects caller & victim for possession, paraphernalia, and small-quantity delivery.	Statewide Standing Order.	Covered.	OTC ~$45	Pharmacy or CRA vans (Chicago).	Quantity limits in immunity law.	https://idph.illinois.gov/Naloxone/ | https://www.dhs.state.il.us/page.aspx?item=58142 | https://nextdistro.org/illinois | https://anypositivechange.org | https://www.ilga.gov/Legislation/publicacts/view/102-0476 | https://codes.findlaw.com/il/chapter-720-criminal-offenses/il-st-sect-720-570-414/ | https://www.illinoisharmreduction.org/end-criminalization
IN	2026-07-14	Aaron's Law / standing order	TRUE	Immunity for possession if naloxone administered.	Aaron's Law / Standing Order.	Covered.	OTC ~$45	OptIN.in.gov locator or NaloxBoxes.	Rural access; check NaloxBox locations.	https://www.overdoselifeline.org/naloxone-indiana-distribution/ | https://optin.in.gov | https://www.in.gov/health/overdose-prevention/naloxone/
